,TEMPERATURE,PRECIPITATION,FIRE
0,3.080952380952381,16.700000000000003,1
1,18.438095238095237,35.800000000000004,1
2,18.426315789473684,13.533333333333333,1
3,19.1,40.900000000000006,1
4,17.83809523809524,35.800000000000004,1
5,17.83809523809524,35.800000000000004,1
6,18.426315789473684,13.533333333333333,1
7,18.057142857142857,40.900000000000006,1
8,10.811111111111112,89.68235294117646,1
9,-12.447619047619048,21.0,1
10,9.323809523809524,62.60000000000001,1
11,2.8047619047619046,17.4,1
12,-7.123809523809523,18.9,1
13,-1.9333333333333333,10.100000000000001,1
14,20.3,40.2,1
15,1.2571428571428571,34.3,1
16,-1.0142857142857142,44.50000000000001,1
17,19.742857142857144,23.6,1
18,22.247619047619047,27.0,1
19,22.247619047619047,27.0,1
20,21.385714285714286,6.000000000000002,1
21,4.642857142857142,59.9,1
22,22.247619047619047,27.0,1
23,22.19047619047619,21.2,1
24,22.247619047619047,27.0,1
25,22.133333333333333,27.0,1
26,22.133333333333333,27.0,1
27,22.204761904761906,27.0,1
28,21.590476190476192,39.8,1
29,22.176190476190477,31.4,1
30,21.86190476190476,35.8,1
31,19.823809523809523,54.0,1
32,22.176190476190477,31.4,1
33,22.133333333333333,27.0,1
34,-10.404761904761905,8.999999999999998,1
35,21.904761904761905,47.0,1
36,23.223809523809525,23.4,1
37,22.585714285714285,54.2,1
38,22.004761904761907,47.0,1
39,-12.685714285714285,21.0,1
40,10.0,62.60000000000001,1
41,20.97142857142857,81.80000000000001,1
42,3.4857142857142858,27.100000000000005,1
43,20.97142857142857,81.80000000000001,1
44,23.242857142857144,94.80000000000001,1
45,24.34285714285714,88.8,1
46,21.82857142857143,39.2,1
47,21.82857142857143,39.2,1
48,21.747619047619047,38.2,1
49,22.947619047619046,41.2,1
50,23.5,47.8,1
51,-1.3904761904761904,21.2,1
52,1.9904761904761905,27.7,1
53,1.9904761904761905,27.7,1
54,-1.3904761904761904,21.2,1
55,-1.3904761904761904,21.2,1
56,25.80952380952381,35.0,1
57,24.238095238095237,57.400000000000006,1
58,25.923809523809524,35.0,1
59,24.804761904761904,46.2,1
